"","age","gender","tenth","school","MMSE1","MMSE2","MMSE3","MMSE4","MMSE5","MMSE6","MMSE7","MMSE8","MMSE9","MMSE10","MMSE11","MMSE12","MMSE13","MMSE14","MMSE15","MMSE16","MMSE17","MMSE18","MMSE19","MMSE20","MMSE21","MMSE22","MMSE23","MMSE24","MMSE25","MMSE26","MMSE27"
"3717",17,"Male","High School",122,"Agree","Agree","Agree","Disagree","Often","Often","Never/Almost Never","Never/Almost Never","Strongly Agree","Strongly Agree","Not at all important","Strongly Agree","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree"
"3718",14,"Female","High School",122,"Agree","Agree","Agree","Disagree","Rarely","Often","Rarely","Sometimes","Agree","Disagree","Not at all important","Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Agree"
"3719",16,"Female","High School",122,"Agree","Agree","Agree","Disagree","Often","Always/Almost Always","Always/Almost Always","Sometimes","Agree","Agree","Fairly Important","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"3720",17,"Female","High School",122,"Agree","Agree","Agree","Disagree","Rarely","Always/Almost Always","Never/Almost Never","Sometimes","Strongly Agree","Strongly Agree","Not at all important","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"3721",15,"Female","High School",122,"Strongly Agree","Agree","Agree","Disagree","Sometimes","Sometimes","Rarely","Rarely","Strongly Agree","Agree","Not at all important","Strongly Agree","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree"
"3722",15,"Female","High School",122,"Agree","Agree","Agree","Disagree","Sometimes","Often","Sometimes","Sometimes","Agree","Agree","Slightly Important","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"3723",15,"Female","High School",122,"Agree","Agree","Agree","Disagree","Often","Often","Sometimes","Sometimes","Agree","Agree","Fairly Important","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree"
"3724",16,"Female","High School",122,"Agree","Agree","Agree","Disagree","Often","Always/Almost Always","Often","Sometimes","Disagree","Disagree","Not at all important","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Disagree","Agree","Agree"
"3725",16,"Female","High School",122,"Disagree","Agree","Agree","Disagree","Rarely","Sometimes","Often","Sometimes","Agree","Agree","Slightly Important","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Disagree","Agree"
"3726",14,"Female","High School",122,"Disagree","Agree","Agree","Agree","Sometimes","Often","Often","Sometimes","Agree","Agree","Fairly Important","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree"
