"","age","gender","tenth","school","MMSE1","MMSE2","MMSE3","MMSE4","MMSE5","MMSE6","MMSE7","MMSE8","MMSE9","MMSE10","MMSE11","MMSE12","MMSE13","MMSE14","MMSE15","MMSE16","MMSE17","MMSE18","MMSE19","MMSE20","MMSE21","MMSE22","MMSE23","MMSE24","MMSE25","MMSE26","MMSE27"
"535",13,"Female","Middle School",96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"536",16,"Male","Middle School",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"537",14,"Male","Middle School",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"538",14,"Female","Middle School",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"539",12,"Male","Middle School",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"540",14,"Female","Middle School",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"541",12,"Female","Middle School",4,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Never/Almost Never","Never/Almost Never","Never/Almost Never","Never/Almost Never","Strongly Agree","Strongly Agree","Not at all important","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"542",13,"Female","Middle School",2,"Agree","Disagree","Agree","Agree","Sometimes","Often","Always/Almost Always","Sometimes","Strongly Agree","Agree","Slightly Important","Strongly Agree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree"
"543",13,"Female","Middle School",2,"Strongly Agree","Strongly Agree","Agree","Strongly Disagree","Often","Sometimes","Rarely","Sometimes","Strongly Agree","Agree","Not at all important","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"544",13,"Female","Middle School",2,"Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Sometimes","Sometimes","Sometimes","Rarely","Strongly Agree","Strongly Agree","Not at all important","Strongly Agree","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"545",12,"Female","Middle School",2,"Agree","Agree","Agree","Disagree","Sometimes","Often","Sometimes","Sometimes","Strongly Agree","Strongly Agree","Not at all important","Strongly Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"1841",15,"Female","High School",122,"Agree","Agree","Agree","Strongly Agree","Often","Rarely","Sometimes","Sometimes","Agree","Strongly Disagree","Very Important","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Agree","Strongly Agree","Disagree","Disagree","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree"
"1842",15,"Male","High School",122,"Disagree","Agree","Agree","Disagree","Sometimes","Sometimes","Rarely","Sometimes","Agree","Strongly Disagree","Fairly Important","Agree","Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree"
"1843",15,"Female","High School",94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1844",16,"Female","High School",94,"Agree","Agree","Agree","Disagree","Sometimes","Rarely","Sometimes","Rarely","Agree","Agree","Slightly Important","Strongly Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"1845",16,"Male","High School",94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1846",17,"Female","High School",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1847",17,"Male","High School",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1848",16,"Male","High School",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1849",16,"Male","High School",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1850",17,"Male","High School",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1851",16,"Male","High School",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1852",19,"Male","High School",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1853",NA,"Male","High School",90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1854",17,"Male","High School",44,"Agree","Disagree","Strongly Agree","Agree","Sometimes","Sometimes","Often","Rarely","Agree","Agree","Fairly Important","Strongly Agree","Agree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Strongly Agree","Agree","Disagree","Agree","Disagree","Strongly Agree","Disagree","Agree"
"1855",17,"Male","High School",44,"Agree","Agree","Agree","Strongly Agree","Sometimes","Sometimes","Never/Almost Never","Sometimes","Strongly Disagree","Agree","Fairly Important","Agree","Disagree","Strongly Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree"
"1856",16,"Male","High School",44,"Agree","Strongly Agree","Agree","Agree","Often","Often","Often","Sometimes","Agree","Agree","Slightly Important","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree"
"1857",15,"Male","High School",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1858",18,"Male","High School",35,"Agree","Agree","Agree","Disagree","Often","Often","Sometimes","Often","Agree","Agree","Not at all important","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Strongly Agree","Strongly Agree","Agree","Agree"
"1859",18,"Male","High School",35,"Agree","Agree","Agree","Disagree","Sometimes","Always/Almost Always","Sometimes","Sometimes","Agree","Agree","Slightly Important","Agree","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree"
"1860",15,"Male","High School",35,"Agree","Agree","Agree","Strongly Agree","Sometimes","Sometimes","Sometimes","Sometimes","Strongly Agree","Agree","Not at all important","Strongly Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree"
"1861",16,"Male","High School",35,"Agree","Agree","Agree","Disagree","Rarely","Often","Rarely","Rarely","Agree","Agree","Not at all important","Agree","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Agree","Strongly Agree","Agree","Agree"
"1862",17,"Male","High School",35,"Strongly Agree","Agree","Agree","Disagree","Always/Almost Always","Always/Almost Always","Sometimes","Sometimes","Agree","Agree","Slightly Important","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree"
"1863",17,"Male","High School",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1864",15,"Male","High School",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1865",16,"Female","High School",23,"Agree","Agree","Agree","Disagree","Sometimes","Sometimes","Sometimes","Sometimes","Agree","Agree","Not at all important","Agree","Disagree","Disagree","Disagree","Strongly Disagree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Strongly Agree"
"1866",15,"Male","High School",23,"Agree","Agree","Agree","Disagree","Always/Almost Always","Sometimes","Always/Almost Always","Sometimes","Disagree","Strongly Disagree","Quite Important","Agree","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Agree","Agree","Agree","Strongly Disagree","Agree","Disagree","Agree","Strongly Agree","Strongly Agree","Agree","Agree"
"1867",15,"Female","High School",23,"Agree","Agree","Agree","Disagree","Rarely","Sometimes","Sometimes","Rarely","Agree","Agree","Slightly Important","Strongly Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"1868",15,"Female","High School",23,"Strongly Agree","Strongly Agree","Agree","Disagree","Never/Almost Never","Sometimes","Rarely","Sometimes","Strongly Agree","Strongly Agree","Not at all important","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree"
"1869",15,"Female","High School",23,"Agree","Strongly Agree","Agree","Disagree","Often","Always/Almost Always","Rarely","Sometimes","Strongly Agree","Agree","Not at all important","Strongly Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree"
"1870",15,"Female","High School",23,"Agree","Agree","Agree","Disagree","Sometimes","Sometimes","Sometimes","Sometimes","Agree","Agree","Slightly Important","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Agree","Strongly Agree","Agree","Agree"
"1871",15,"Female","High School",23,"Agree","Agree","Agree","Agree","Rarely","Sometimes","Sometimes","Sometimes","Agree","Agree","Slightly Important","Agree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree"
"1872",15,"Male","High School",4,"Agree","Agree","Agree","Disagree","Often","Rarely","Sometimes","Sometimes","Agree","Disagree","Slightly Important","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree"
"1873",15,"Female","High School",4,"Agree","Agree","Agree","Disagree","Sometimes","Sometimes","Rarely","Sometimes","Agree","Agree","Slightly Important","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"1874",15,"Female","High School",4,"Agree","Agree","Disagree","Agree","Rarely","Sometimes","Rarely","Rarely","Agree","Disagree","Slightly Important","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"1875",15,"Female","High School",4,"Agree","Agree","Agree","Disagree","Rarely","Sometimes","Sometimes","Sometimes","Agree","Agree","Slightly Important","Strongly Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree"
"1876",15,"Female","High School",4,"Agree","Agree","Agree","Disagree","Often","Often","Never/Almost Never","Often","Agree","Agree","Not at all important","Strongly Agree","Disagree","Disagree","Disagree","Disagree","Strongly Agree","Disagree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree"
"1877",17,"Male","High School",4,"Agree","Agree","Agree","Disagree","Rarely","Rarely","Sometimes","Sometimes","Agree","Agree","Fairly Important","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree"
"1878",15,"Male","High School",4,"Agree","Agree","Agree","Disagree","Sometimes","Sometimes","Rarely","Rarely","Strongly Agree","Agree","Not at all important","Strongly Agree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree"
"1879",15,"Male","High School",4,"Agree","Agree","Agree","Disagree","Sometimes","Sometimes","Sometimes","Sometimes","Agree","Agree","Slightly Important","Agree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree"
"1880",15,"Female","High School",3,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Rarely","Rarely","Rarely","Sometimes","Strongly Agree","Agree","Not at all important","Strongly Agree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree"
"1881",15,"Female","High School",3,"Agree","Agree","Agree","Disagree","Rarely","Never/Almost Never","Rarely","Rarely","Agree","Disagree","Fairly Important","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Strongly Disagree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree"
"1882",17,"Female","High School",2,"Disagree","Disagree","Agree","Agree","Always/Almost Always","Often","Sometimes","Sometimes","Disagree","Agree","Fairly Important","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree"
"1883",15,"Female","High School",2,"Agree","Agree","Agree","Agree","Often","Always/Almost Always","Often","Sometimes","Strongly Agree","Agree","Quite Important","Strongly Agree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"1884",17,"Female","High School",2,"Agree","Agree","Agree","Disagree","Always/Almost Always","Always/Almost Always","Sometimes","Sometimes","Strongly Agree","Agree","Slightly Important","Strongly Agree","Disagree","Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"1885",16,"Female","High School",2,"Agree","Agree","Agree","Disagree","Sometimes","Sometimes","Sometimes","Sometimes","Agree","Agree","Fairly Important","Strongly Agree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree"
"1886",16,"Female","High School",2,"Agree","Disagree","Agree","Agree","Often","Always/Almost Always","Often","Sometimes","Agree","Agree","Fairly Important","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Agree","Disagree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree"
"1887",15,"Female","High School",2,"Disagree","Disagree","Disagree","Agree","Rarely","Never/Almost Never","Rarely","Sometimes","Strongly Disagree","Strongly Disagree","Slightly Important","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree"
"1888",16,"Female","High School",2,"Agree","Agree","Agree","Disagree","Often","Always/Almost Always","Sometimes","Sometimes","Strongly Agree","Agree","Not at all important","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"1889",15,"Male","High School",2,"Agree","Agree","Agree",NA,"Always/Almost Always","Always/Almost Always","Sometimes","Sometimes","Agree","Disagree",NA,"Agree",NA,NA,NA,NA,NA,NA,NA,"Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree"
"1890",17,"Female","High School",2,"Disagree","Disagree","Strongly Disagree","Strongly Agree","Always/Almost Always","Always/Almost Always","Always/Almost Always","Always/Almost Always","Disagree","Disagree","Fairly Important","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree"
"1891",16,"Female","High School",2,"Strongly Agree","Agree","Strongly Agree","Disagree","Never/Almost Never","Always/Almost Always","Sometimes","Always/Almost Always","Agree","Agree","Not at all important","Strongly Agree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree"
"1892",16,"Female","High School",2,"Agree","Agree","Agree","Disagree","Rarely","Often","Sometimes","Sometimes","Strongly Agree","Agree","Slightly Important","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"1893",17,"Female","High School",2,"Agree","Disagree","Agree","Disagree","Sometimes","Often","Often","Sometimes","Agree","Agree","Fairly Important","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree"
"1894",16,"Female","High School",2,"Disagree","Disagree","Disagree","Agree","Sometimes","Sometimes","Sometimes","Rarely","Strongly Agree","Agree","Slightly Important","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree"
"1895",17,"Female","High School",2,"Agree","Agree","Strongly Agree","Disagree","Sometimes","Often","Sometimes","Sometimes","Agree","Strongly Agree","Not at all important","Strongly Agree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"1896",16,"Female","High School",2,"Disagree","Agree","Agree","Agree","Often","Often","Sometimes","Often","Disagree","Agree","Quite Important","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree"
"1897",17,"Female","High School",2,"Disagree","Disagree","Disagree","Agree","Sometimes","Sometimes","Sometimes","Rarely","Strongly Agree","Agree","Slightly Important","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree"
"1898",13,"Female","Middle School",96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1899",13,"Female","Middle School",96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1900",13,"Female","Middle School",96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1901",12,"Female","Middle School",96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1902",13,"Female","Middle School",96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1903",13,"Female","Middle School",96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1904",12,"Female","Middle School",89,"Agree","Agree","Strongly Agree","Disagree","Sometimes","Sometimes","Sometimes","Rarely","Strongly Agree","Strongly Agree","Not at all important","Strongly Agree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"1905",12,"Female","Middle School",89,"Agree","Agree","Strongly Agree","Disagree","Often","Sometimes","Sometimes","Never/Almost Never","Strongly Agree","Strongly Agree","Slightly Important","Strongly Agree","Strongly Disagree","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"1906",13,"Female","Middle School",89,"Agree","Agree","Agree","Disagree","Often","Often","Rarely","Sometimes","Agree","Agree","Slightly Important","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree"
"1907",12,"Male","Middle School",89,"Disagree","Agree","Disagree","Agree","Often","Always/Almost Always","Sometimes","Often","Disagree","Agree","Fairly Important","Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Agree"
"1908",12,"Female","Middle School",89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1909",12,"Female","Middle School",89,"Agree","Agree","Disagree","Agree",NA,"Often","Rarely","Sometimes","Strongly Agree","Strongly Agree","Not at all important","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree"
"1910",14,"Female","Middle School",89,"Strongly Agree","Strongly Agree","Agree","Agree","Sometimes","Sometimes","Sometimes","Sometimes","Strongly Agree","Agree","Not at all important","Strongly Agree","Disagree","Disagree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree"
"1911",13,"Male","Middle School",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1912",13,"Male","Middle School",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1913",12,"Male","Middle School",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1914",13,"Male","Middle School",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1915",12,"Female","Middle School",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1916",13,"Male","Middle School",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1917",13,"Male","Middle School",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1918",13,"Male","Middle School",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1919",12,"Female","Middle School",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1920",14,"Male","Middle School",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1921",12,"Female","Middle School",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1922",12,"Female","Middle School",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1923",12,"Male","Middle School",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1924",13,"Female","Middle School",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1925",12,"Male","Middle School",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1926",13,"Female","Middle School",39,"Agree","Strongly Agree","Strongly Agree","Disagree","Often","Sometimes","Sometimes","Rarely","Strongly Agree","Strongly Disagree","Not at all important","Strongly Agree","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree"
"1927",13,"Male","Middle School",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
